JOB_ID,Agency,Posting_Type,Number_Of_Positions,Civil_Service_Title,Job_Category,Full_Time_Part_Time_Indicator,Career_Level,Salary_Range_From,Salary_Range_To,Salary_Frequency,Work_Location,Posting_Date
697582,DEPT OF DESIGN & CONSTRUCTION,Internal,1,SUMMER COLLEGE INTERN,"Engineering, Architecture, & Planning Policy, Research & Analysis",P,Student,16.88,16.88,Hourly,30-30 Thomson Ave L I City Qns,1/16/2025
713280,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,COLLEGE AIDE (ALL CITY DEPTS),Health,P,Student,17,21.4,Hourly,42-09 28th Street,5/1/2025
528811,DEPT OF ENVIRONMENT PROTECTION,External,1,ADM CITY PLANNER (NON MGRL),"Engineering, Architecture, & Planning Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,Manager,53702,102568,Annual,59-17 Junction Blvd Corona Ny,4/22/2022
625487,DEPT OF ENVIRONMENT PROTECTION,Internal,1,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),98470,133496,Annual,59-17 Junction Blvd Corona Ny,2/22/2024
643060,DEPT OF HEALTH/MENTAL HYGIENE,External,1,PUBLIC HEALTH ADVISER,Health,F,Experienced (non-manager),51528,59257,Annual,42-09 28th Street,7/22/2024
715535,NYC POLICE PENSION FUND,Internal,2,CLERICAL AIDE,Administration & Human Resources,F,Entry-Level,45409,46218,Annual,233 Broadway,5/23/2025
715535,NYC POLICE PENSION FUND,Internal,2,CLERICAL AIDE,Administration & Human Resources,F,Entry-Level,45409,46218,Annual,233 Broadway,5/23/2025
640364,DEPARTMENT OF CORRECTION,External,12,COOK,Health Social Services,F,Entry-Level,38858,43909,Annual,Rikers Island,7/29/2024
534519,DEPT OF ENVIRONMENT PROTECTION,External,2,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),53702,148745,Annual,96-05 Horace Harding Expway,6/8/2022
584561,DEPT OF ENVIRONMENT PROTECTION,External,1,CYBER SECURITY ANALYST,"Technology, Data & Innovation",P,Experienced (non-manager),43.1281,62.0142,Hourly,59-17 Junction Blvd Corona Ny,5/16/2023
709461,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,PUBLIC HEALTH EMERGENCY PREPAR,Health,F,Experienced (non-manager),71979,88478,Annual,42-09 28th Street,4/3/2025
680996,ADMIN TRIALS AND HEARINGS,Internal,5,COMMUNITY COORDINATOR,Constituent Services & Community Programs,F,Entry-Level,60889,62215,Annual,"66 John Street, New York, Ny",9/19/2024
709257,DEPT OF DESIGN & CONSTRUCTION,External,2,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),64242,73878,Annual,30-30 Thomson Ave L I City Qns,4/7/2025
714883,TAXI & LIMOUSINE COMMISSION,Internal,2,CLERICAL ASSOCIATE,Constituent Services & Community Programs,F,Experienced (non-manager),64000,69000,Annual,"31-00 47 Ave, 3 FL, LIC NY",5/16/2025
686258,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",F,Experienced (non-manager),108918,125256,Annual,30-30 47TH AVE,10/31/2024
646791,HRA/DEPT OF SOCIAL SERVICES,External,2,PRINCIPAL ADMINISTRATIVE ASSOC,Constituent Services & Community Programs Communications & Intergovernmental Affairs Social Services,F,Experienced (non-manager),57976,66672,Annual,4 World Trade Center,8/14/2024
697540,DEPARTMENT OF TRANSPORTATION,External,1,CONSTRUCTION PROJECT MANAGER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),76262,110444,Annual,55 Water St Ny Ny,2/7/2025
636708,HRA/DEPT OF SOCIAL SERVICES,External,1,ASSOCIATE STAFF ANALYST,Administration & Human Resources,F,Experienced (non-manager),77158,88732,Annual,4 World Trade Center,5/21/2024
708990,CONSUMER AND WORKER PROTECTION,Internal,1,COMPUTER ASSOC (TECH SUPP),"Technology, Data & Innovation",F,Experienced (non-manager),82732,95142,Annual,"42 Broadway, N.Y.",3/26/2025
699726,DEPT OF DESIGN & CONSTRUCTION,External,2,CIVIL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,Entry-Level,57866,66546,Annual,30-30 Thomson Ave L I City Qns,1/28/2025
697015,HRA/DEPT OF SOCIAL SERVICES,Internal,2,ASSOCIATE JOB OPPORTUNITY SPEC,Social Services,F,Experienced (non-manager),68423,102685,Annual,"111 Centre St., N.Y.",2/6/2025
687472,DEPARTMENT OF TRANSPORTATION,Internal,1,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),64242,96395,Annual,55 Water St Ny Ny,11/15/2024
706862,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,ADMINISTRATIVE PUBLIC HEALTH N,Health,F,Experienced (non-manager),66067,124213,Annual,30-30 47TH AVE,3/31/2025
598335,DEPARTMENT OF TRANSPORTATION,External,1,SENIOR IT ARCHITECT,"Technology, Data & Innovation",F,Experienced (non-manager),100000,180000,Annual,55 Water St Ny Ny,8/21/2023
567155,DEPT OF ENVIRONMENT PROTECTION,Internal,1,CITY RESEARCH SCIENTIST,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Policy, Research & Analysis Social Services",F,Experienced (non-manager),75504,94761,Annual,59-17 Junction Blvd Corona Ny,1/9/2023
704029,DEPT OF ENVIRONMENT PROTECTION,Internal,4,ASSOCIATE WATER USE INSPECTOR,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),75805,85736,Annual,59-17 Junction Blvd Corona Ny,2/25/2025
704029,DEPT OF ENVIRONMENT PROTECTION,Internal,4,ASSOCIATE WATER USE INSPECTOR,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),75805,85736,Annual,59-17 Junction Blvd Corona Ny,2/25/2025
632323,DEPT OF ENVIRONMENT PROTECTION,Internal,6,CITY PARK WORKER,Constituent Services & Community Programs Green Jobs Building Operations & Maintenance,F,Entry-Level,37936,58924,Annual,"329 Greenpoint Ave., Brooklyn",4/29/2024
697519,NYC HOUSING AUTHORITY,External,1,AGENCY ATTORNEY,Legal Affairs,F,Experienced (non-manager),103055,115000,Annual,Policy,2/10/2025
694722,DEPT OF DESIGN & CONSTRUCTION,External,1,ADMINISTRATIVE ENGINEER,"Engineering, Architecture, & Planning",F,Manager,73068,148387,Annual,30-30 Thomson Ave L I City Qns,1/7/2025
702252,HRA/DEPT OF SOCIAL SERVICES,External,1,ASSOCIATE BENEFITS OPPORTUNITY,Social Services,F,Experienced (non-manager),68423,78686,Annual,"132 W 125Th St., N.Y.",2/12/2025
714719,BRONX DISTRICT ATTORNEY,External,1,REPORTER/STENOGRAPHER,Legal Affairs,F,Experienced (non-manager),88106,88106,Annual,198 E161St Street Bronx N.Y.,5/15/2025
703221,DEPT OF ENVIRONMENT PROTECTION,Internal,1,SUMMER COLLEGE INTERN,"Administration & Human Resources Technology, Data & Innovation Policy, Research & Analysis",F,Student,16.5,16.5,Hourly,59-17 Junction Blvd Corona Ny,2/19/2025
682440,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",F,Experienced (non-manager),84981,97728,Annual,42-09 28th Street,10/21/2024
626497,DEPT OF ENVIRONMENT PROTECTION,External,1,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Manager,72038,192152,Annual,96-05 Horace Harding Expway,3/18/2024
707080,BRONX DISTRICT ATTORNEY,Internal,2,COMMUNITY COORDINATOR,"Constituent Services & Community Programs Legal Affairs Public Safety, Inspections, & Enforcement Social Services",F,Experienced (non-manager),70022,70022,Annual,198 E161St Street Bronx N.Y.,3/14/2025
641911,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,PUBLIC HEALTH SANITARIAN,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),49961,49961,Annual,NYC - All Boroughs,7/15/2024
691375,DEPT OF HEALTH/MENTAL HYGIENE,External,1,CYBER SECURITY ANALYST,"Health Technology, Data & Innovation",F,Experienced (non-manager),88684,123806,Annual,42-09 28th Street,12/4/2024
715347,TAXI & LIMOUSINE COMMISSION,External,1,ADMINISTRATIVE STAFF ANALYST (,Constituent Services & Community Programs,F,Experienced (non-manager),106602,109064,Annual,"31-00 47 Ave, 3 FL, LIC NY",5/21/2025
710294,DEPT OF DESIGN & CONSTRUCTION,Internal,1,ADMIN ARCHITECT (NON MGRL) M-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),60443,113966,Annual,30-30 Thomson Ave L I City Qns,5/2/2025
640188,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,COMMUNITY ASSOCIATE,"Constituent Services & Community Programs Health Policy, Research & Analysis",F,Experienced (non-manager),41887,48170,Annual,42-09 28th Street,7/9/2024
697540,DEPARTMENT OF TRANSPORTATION,Internal,1,CONSTRUCTION PROJECT MANAGER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),76262,110444,Annual,55 Water St Ny Ny,2/7/2025
711995,DEPARTMENT OF TRANSPORTATION,Internal,1,ASSOCIATE URBAN DESIGNER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),76262,110444,Annual,55 Water St Ny Ny,4/24/2025
700195,DEPT OF HEALTH/MENTAL HYGIENE,External,1,LABORATORY MICROBIOLOGIST,"Health Policy, Research & Analysis",F,Experienced (non-manager),62253,66712,Annual,"455 First Ave., N.Y.",3/28/2025
685123,FIRE DEPARTMENT,External,1,ADM PROC ANAL-NM FRM M1-3,"Finance, Accounting, & Procurement",F,Experienced (non-manager),71281,165887,Annual,"9 Metrotech Center, Brooklyn N",2/10/2025
715466,DEPARTMENT OF BUILDINGS,Internal,1,ADM MANAGER-NON-MGRL FRM M1/M2,Administration & Human Resources,F,Experienced (non-manager),68339,85842,Annual,"280 Broadway, 6th Floor, N.Y.",5/22/2025
639868,DEPT OF ENVIRONMENT PROTECTION,Internal,1,COMMUNITY COORDINATOR,Constituent Services & Community Programs,F,Experienced (non-manager),60889,70022,Annual,96-05 Horace Harding Expway,8/14/2024
689034,HRA/DEPT OF SOCIAL SERVICES,External,1,ADMINISTRATIVE JOB OPPORTUNITY,Social Services,F,Experienced (non-manager),91770,117302,Annual,4 World Trade Center,11/29/2024
699455,DEPARTMENT FOR THE AGING,External,1,COMMUNITY COORDINATOR,Constituent Services & Community Programs Health Social Services,F,Experienced (non-manager),60889,70022,Annual,"2 Lafayette St., N.Y.",3/12/2025
641961,DEPT OF ENVIRONMENT PROTECTION,External,1,CIVIL ENGINEERING INTERN,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Entry-Level,56181,68034,Annual,"465 Columbus Ave. Valhalla, Ny",8/21/2024
691374,NYC HOUSING AUTHORITY,External,99,HOUSING ASSISTANT (HA),Administration & Human Resources,F,Entry-Level,42723,69243,Annual,Queens-SI Floating Staff,12/9/2024
713812,NYC HOUSING AUTHORITY,External,1,CARETAKER (HA),Building Operations & Maintenance,F,Entry-Level,36006,50569,Annual,Washington-Lexington,5/13/2025
711640,DEPARTMENT OF TRANSPORTATION,Internal,1,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),64242,96395,Annual,34-02 Queens Boulevard Long Is,4/24/2025
681822,DEPT OF ENVIRONMENT PROTECTION,Internal,1,SCIENTIST (WATER ECOLOGY),Health,F,Experienced (non-manager),74144,105780,Annual,96-05 Horace Harding Expway,10/1/2024
574283,DEPARTMENT OF TRANSPORTATION,External,2,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),80557,111917,Annual,55 Water St Ny Ny,2/13/2023
714827,DEPARTMENT OF TRANSPORTATION,Internal,1,CITY LABORER,"Finance, Accounting, & Procurement Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),36.25,36.25,Hourly,55 Water St Ny Ny,5/21/2025
545811,DEPT OF ENVIRONMENT PROTECTION,External,5,ASSISTANT CHEMICAL ENGINEER (C,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,85646,Annual,96-05 Horace Harding Expway,8/22/2022
682374,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CITY MEDICAL SPECIALIST (PART-,Health,P,Experienced (non-manager),82.23,88.13,Daily,NYC - All Boroughs,10/1/2024
714607,CONSUMER AND WORKER PROTECTION,Internal,1,CLERICAL ASSOCIATE,Communications & Intergovernmental Affairs,F,Experienced (non-manager),36971,45149.16,Annual,"42 Broadway, N.Y.",5/20/2025
624844,DEPT OF ENVIRONMENT PROTECTION,External,1,ADM ENGINEER (NON MGRL),"Engineering, Architecture, & Planning",F,Experienced (non-manager),58682,159671,Annual,59-17 Junction Blvd Corona Ny,2/22/2024
713251,DEPT OF HEALTH/MENTAL HYGIENE,External,1,ASSOCIATE INVESTIGATOR (NOT PR,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),57490,70381,Annual,"125 Worth Street, Nyc",5/1/2025
699615,NYC HOUSING AUTHORITY,Internal,1,AGENCY ATTORNEY INTERNE,Legal Affairs,F,Experienced (non-manager),80763,85269,Annual,General Litigation,2/21/2025
591504,DEPT OF ENVIRONMENT PROTECTION,External,1,CIVIL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,Entry-Level,64608,68034,Annual,96-05 Horace Harding Expway,7/14/2023
711073,BOARD OF CORRECTION,External,1,SUMMER COLLEGE INTERN,"Administration & Human Resources Communications & Intergovernmental Affairs Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement Social Services",F,Student,16.5,19,Hourly,"2 Lafayette St., N.Y.",5/13/2025
703016,BRONX DISTRICT ATTORNEY,External,1,ASSISTANT DISTRICT ATTORNEY (S,Legal Affairs,F,Manager,112000,188000,Annual,"215 E 161St St., Bronx",2/14/2025
707892,DEPARTMENT OF SANITATION,Internal,1,METAL WORK MECHANIC,"Engineering, Architecture, & Planning Building Operations & Maintenance",F,Experienced (non-manager),106631,117379,Annual,"52-35 58Th St., Woodside, Ny",4/11/2025
715267,OFFICE OF CRIMINAL JUSTICE,External,2,EXECUTIVE AGENCY COUNSEL,Legal Affairs,F,Manager,66066,175000,Annual,253 Broadway New York Ny,5/20/2025
713165,DEPT OF HEALTH/MENTAL HYGIENE,External,1,CITY RESEARCH SCIENTIST,"Policy, Research & Analysis",F,Experienced (non-manager),72190,72190,Annual,NYC - All Boroughs,5/1/2025
689034,HRA/DEPT OF SOCIAL SERVICES,Internal,1,ADMINISTRATIVE JOB OPPORTUNITY,Social Services,F,Experienced (non-manager),91770,117302,Annual,4 World Trade Center,11/29/2024
698442,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,COMMUNITY COORDINATOR,Constituent Services & Community Programs Health,F,Experienced (non-manager),60889,86000,Annual,485 Throop Ave Brooklyn,1/24/2025
713188,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CITY HEALTH SYSTEM PHARMACIST,Health,F,Experienced (non-manager),129354,136000,Annual,42-09 28th Street,5/1/2025
550935,DEPT OF ENVIRONMENT PROTECTION,External,1,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),90114,122168,Annual,59-17 Junction Blvd Corona Ny,9/14/2022
695614,DEPARTMENT OF TRANSPORTATION,Internal,1,CONSTRUCTION PROJECT MANAGER,Administration & Human Resources Green Jobs Communications & Intergovernmental Affairs Building Operations & Maintenance,F,Experienced (non-manager),76262,100000,Annual,55 Water St Ny Ny,12/31/2024
695275,HRA/DEPT OF SOCIAL SERVICES,Internal,1,ADMINISTRATIVE JOB OPPORTUNITY,Social Services,F,Experienced (non-manager),86185,102086,Annual,890 Garrison Avenue,12/24/2024
713477,DEPARTMENT OF BUILDINGS,Internal,1,ADMINISTRATIVE INSPECTOR (BUIL,"Public Safety, Inspections, & Enforcement",F,Manager,73068,153232,Annual,"280 Broadway, 4th Floor, N.Y.",5/2/2025
712874,DISTRICT ATTORNEY-MANHATTAN,External,1,COMMUNITY ASSOCIATE,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),55150,55150,Annual,"80 Centre St., N.Y.",4/29/2025
619571,HRA/DEPT OF SOCIAL SERVICES,External,2,PRINCIPAL ADMINISTRATIVE ASSOC,Green Jobs,F,Experienced (non-manager),58695,86699,Annual,890 Garrison Avenue,12/11/2023
685681,DEPARTMENT OF TRANSPORTATION,Internal,1,CITY PLANNER,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,Experienced (non-manager),82494,120509,Annual,55 Water St Ny Ny,10/30/2024
713717,DISTRICT ATTORNEY-MANHATTAN,External,1,COMMUNITY ASSOCIATE,"Technology, Data & Innovation Legal Affairs",F,Entry-Level,54956,54956,Annual,"80 Centre St., N.Y.",5/6/2025
612485,HRA/DEPT OF SOCIAL SERVICES,External,4,ELIGIBILITY SPECIALIST,Social Services,F,Entry-Level,43777,50343,Annual,375 Pearl Street,10/20/2023
707750,DEPT OF ENVIRONMENT PROTECTION,Internal,1,CHEMICAL ENGINEER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),76262,110444,Annual,199 River Road North,3/28/2025
709257,DEPT OF DESIGN & CONSTRUCTION,Internal,2,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),64242,73878,Annual,30-30 Thomson Ave L I City Qns,4/7/2025
693930,DEPT OF ENVIRONMENT PROTECTION,Internal,1,COMMUNITY COORDINATOR,"Constituent Services & Community Programs Green Jobs Policy, Research & Analysis",F,Experienced (non-manager),60889,94521,Annual,59-17 Junction Blvd Corona Ny,1/7/2025
695252,HRA/DEPT OF SOCIAL SERVICES,Internal,1,ASSISTANT PRINTING PRESS OPERA,Building Operations & Maintenance,F,Experienced (non-manager),58381,67138,Annual,375 Pearl Street,12/24/2024
634824,DEPT OF ENVIRONMENT PROTECTION,Internal,3,INDUSTRIAL HYGIENIST,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),61237,82302,Annual,96-05 Horace Harding Expway,6/13/2024
712937,FIRE DEPARTMENT,Internal,1,AGENCY ATTORNEY,Legal Affairs,F,Experienced (non-manager),71163,85000,Annual,"9 Metrotech Center, Brooklyn N",5/20/2025
714989,OFFICE OF MANAGEMENT & BUDGET,External,1,BUDGET ANALYST (OMB),"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,58851,84257,Annual,255 Greenwich Street,5/16/2025
698389,DEPT OF HEALTH/MENTAL HYGIENE,External,1,SUPERVISING SPECIAL OFFICER,Health Building Operations & Maintenance,F,Experienced (non-manager),71448,80736,Annual,"600 W 168Th St., N.Y.",1/24/2025
707534,BRONX COMMUNITY BOARD #4,External,1,COMMUNITY ASSOCIATE,Constituent Services & Community Programs,F,Entry-Level,43143,55000,Annual,"1650 Selwyn Ave, Bronx",3/24/2025
708130,DISTRICT ATTORNEY-MANHATTAN,Internal,1,COMMUNITY ASSOCIATE,Legal Affairs,F,Experienced (non-manager),64000,64000,Annual,"80 Centre St., N.Y.",3/20/2025
708917,HRA/DEPT OF SOCIAL SERVICES,External,1,ASSOCIATE BENEFITS OPPORTUNITY,Social Services,F,Experienced (non-manager),68423,78686,Annual,"1910 Monterey Ave., Bronx",3/26/2025
683538,DEPARTMENT OF TRANSPORTATION,External,1,OILER,Building Operations & Maintenance,F,Experienced (non-manager),538,538,Daily,88-26 Pitkin Avenue,10/26/2024
692921,DEPT OF HEALTH/MENTAL HYGIENE,External,1,PUBLIC HEALTH EMERGENCY PREPAR,Health,F,Experienced (non-manager),71979,89000,Annual,42-09 28th Street,12/11/2024
705313,DEPT OF YOUTH & COMM DEV SRVS,External,1,AGENCY ATTORNEY,Legal Affairs,F,Experienced (non-manager),71163,108641,Annual,"2 Lafayette St., N.Y.",4/3/2025
590912,HRA/DEPT OF SOCIAL SERVICES,Internal,5,STAFF NURSE,Health Social Services,F,Experienced (non-manager),84744,84744,Annual,"132 W 125Th St., N.Y.",6/23/2023
706884,DEPT OF YOUTH & COMM DEV SRVS,Internal,1,COMMUNITY COORDINATOR,"Finance, Accounting, & Procurement",F,Experienced (non-manager),60889,94521,Annual,"123 William Street, NY, NY",4/7/2025
710273,DEPT OF DESIGN & CONSTRUCTION,External,1,ADMIN ARCHITECT (NON MGRL) M-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),60443,140250,Annual,777 Third Avenue,4/9/2025
710788,DEPT OF DESIGN & CONSTRUCTION,Internal,1,CONSTRUCTION PROJECT MANAGER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),81108,96472,Annual,30-30 Thomson Ave L I City Qns,4/15/2025
702968,OFFICE OF MANAGEMENT & BUDGET,External,2,BUDGET ANALYST (OMB),"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,74893,95208,Annual,255 Greenwich Street,2/19/2025
644808,ADMIN FOR CHILDREN'S SVCS,Internal,15,CHILD PROTECTIVE SPECIALIST SU,Social Services,F,Experienced (non-manager),96901,117472,Annual,NYC - All Boroughs,5/7/2025
624642,OFFICE OF CRIMINAL JUSTICE,External,2,EXECUTIVE AGENCY COUNSEL,Legal Affairs,F,Experienced (non-manager),72038,175000,Annual,253 Broadway New York Ny,1/25/2024
561622,DEPT OF ENVIRONMENT PROTECTION,External,1,CIVIL ENGINEER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),80557,111917,Annual,"10 Walker Rd, Valhalla NY10595",11/25/2022
637617,DEPT OF ENVIRONMENT PROTECTION,Internal,1,ADMINISTRATIVE CONSTRUCTION PR,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Manager,81083,216270,Annual,"71 Smith Avenue, Kingston, Ny",7/30/2024
713245,NYC HOUSING AUTHORITY,External,1,ASSISTANT RESIDENT BUILDING SU,Building Operations & Maintenance,F,Experienced (non-manager),54272,80188,Annual,Marble Hill Houses,5/13/2025
710897,DEPT OF HEALTH/MENTAL HYGIENE,External,1,AGENCY MEDICAL DIRECTOR,Health,F,Executive,180000,200000,Annual,42-09 28th Street,4/11/2025
638597,BRONX DISTRICT ATTORNEY,External,1,IT PROJECT SPECIALIST,"Technology, Data & Innovation Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),100000,120000,Annual,"215 E 161St St., Bronx",6/17/2024
689714,HRA/DEPT OF SOCIAL SERVICES,Internal,1,ASSOCIATE STAFF ANALYST,Administration & Human Resources,F,Experienced (non-manager),79473,91394,Annual,4 World Trade Center,11/21/2024
691639,DISTRICT ATTORNEY-MANHATTAN,Internal,1,COMMUNITY ASSOCIATE,Constituent Services & Community Programs Legal Affairs,F,Experienced (non-manager),59410,59410,Annual,"163 W 125 St, New York, Ny",12/5/2024
708651,CAMPAIGN FINANCE BOARD,External,1,ANALYST CFB AL 1 ONLY,Administration & Human Resources,F,Entry-Level,55000,60000,Annual,"100 Church St., N.Y.",3/24/2025
592729,HRA/DEPT OF SOCIAL SERVICES,Internal,1,INVESTIGATOR(DISCP)(ONLY FOR P,Social Services,F,Experienced (non-manager),65797,75666,Annual,155 West Broadway New York N Y,7/10/2023
705004,DEPARTMENT OF CORRECTION,Internal,1,SUMMER COLLEGE INTERN,"Technology, Data & Innovation",P,Student,19,19,Hourly,75-20 Astoria Blvd,2/28/2025
714215,BRONX DISTRICT ATTORNEY,Internal,15,SENIOR RACKETS INVESTIGATOR,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),77449,77449,Annual,198 E161St Street Bronx N.Y.,5/12/2025
694736,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,COMMUNITY ASSOCIATE,Health,F,Entry-Level,43143,49615,Annual,NYC - All Boroughs,12/31/2024
708916,DEPT OF ENVIRONMENT PROTECTION,External,1,ADMINISTRATIVE HORTICULTURIST,"Constituent Services & Community Programs Green Jobs Policy, Research & Analysis",F,Experienced (non-manager),66067,195261,Annual,"329 Greenpoint Ave., Brooklyn",3/28/2025
698532,DEPARTMENT OF INVESTIGATION,External,1,CONFIDENTIAL INVESTIGATOR,"Technology, Data & Innovation Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),72292,85000,Annual,180 Maiden Lane,5/21/2025
711372,OFFICE OF MANAGEMENT & BUDGET,External,1,BUDGET ANALYST (OMB),"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Experienced (non-manager),117935,117935,Annual,255 Greenwich Street,4/17/2025
715231,BRONX DISTRICT ATTORNEY,External,1,COMMUNITY ASSISTANT,"Legal Affairs Policy, Research & Analysis",F,Experienced (non-manager),42092,42092,Annual,198 E161St Street Bronx N.Y.,5/21/2025
709171,BRONX DISTRICT ATTORNEY,Internal,1,CERT IT DEVELOPER (APP),"Technology, Data & Innovation",F,Experienced (non-manager),115000,115000,Annual,198 E161St Street Bronx N.Y.,3/27/2025
708048,DEPT OF YOUTH & COMM DEV SRVS,External,1,ADM PROC ANAL-NM FRM M1-3,"Finance, Accounting, & Procurement",F,Experienced (non-manager),73419,83700,Annual,"2 Lafayette St., N.Y.",3/19/2025
702759,DEPT OF ENVIRONMENT PROTECTION,External,1,SUMMER COLLEGE INTERN,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,Student,16.88,16.88,Hourly,"3701 Jerome Ave, Bx NY 10467",2/18/2025
714689,DEPARTMENT OF PROBATION,External,1,CLERICAL ASSOCIATE,Administration & Human Resources,F,Experienced (non-manager),45040,70704,Annual,"33 Beaver St, New York Ny",5/14/2025
701344,CONSUMER AND WORKER PROTECTION,Internal,1,CLERICAL ASSOCIATE,Legal Affairs,F,Experienced (non-manager),45040,52242,Annual,"42 Broadway, N.Y.",2/6/2025
709831,OFFICE OF MANAGEMENT & BUDGET,External,1,BUDGET ANALYST (OMB),"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,58851,84257,Annual,255 Greenwich Street,4/3/2025
568586,DEPARTMENT OF TRANSPORTATION,External,1,CIVIL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,Experienced (non-manager),51413,62260,Annual,55 Water St Ny Ny,1/12/2023
699746,DEPT OF DESIGN & CONSTRUCTION,Internal,7,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,Experienced (non-manager),64242,73878,Annual,30-30 Thomson Ave L I City Qns,1/29/2025
714222,BRONX DISTRICT ATTORNEY,External,15,RACKETS INVESTIGATOR,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),63498,63498,Annual,198 E161St Street Bronx N.Y.,5/12/2025
702419,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,MEDICOLEGAL INVESTIGATOR (OCME,Health,F,Experienced (non-manager),122271,122271,Annual,421 East 26th Street NY NY,2/12/2025
637617,DEPT OF ENVIRONMENT PROTECTION,External,1,ADMINISTRATIVE CONSTRUCTION PR,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Manager,81083,216270,Annual,"71 Smith Avenue, Kingston, Ny",7/30/2024
703694,DEPT OF DESIGN & CONSTRUCTION,Internal,1,ASSISTANT ENVIRONMENTAL ENGINE,"Engineering, Architecture, & Planning",F,Experienced (non-manager),64242,73878,Annual,30-30 Thomson Ave L I City Qns,3/5/2025
702493,DEPT OF DESIGN & CONSTRUCTION,External,1,ADMINISTRATIVE STAFF ANALYST (,"Engineering, Architecture, & Planning",F,Experienced (non-manager),95051,107866,Annual,30-30 Thomson Ave L I City Qns,4/8/2025
711591,DEPT OF ENVIRONMENT PROTECTION,Internal,1,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),60443,167413,Annual,"465 Columbus Ave. Valhalla, Ny",4/25/2025
